SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,HOA-MONTH_na,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,HOA-MONTH
1,3,1,5,5,1,2,1,1,1,1,1,2,-0.23979679,0.41348884,-0.48782268,-0.20844586,-0.21309008,-0.26747382
1,2,1,1,1,1,2,1,1,2,2,2,1,-0.449512,-0.26139715,-0.36930683,-0.023413053,-0.21309008,-0.41625246
1,2,1,3,1,1,2,1,1,2,2,1,1,-0.52597064,-0.26139715,-0.36930683,-0.023413053,-0.21309008,-0.3769277
1,6,1,7,8,1,3,1,1,1,1,1,2,1.1867036,1.0805476,-0.27581102,-0.73711103,-0.21309008,-0.26747382
1,2,1,1,1,1,3,1,1,2,1,1,1,-0.4433953,-0.26139715,-0.53404385,1.6683155,-0.21309008,-0.7439587
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.51067895,-0.43359745,-0.36930683,-0.049846314,-0.21309008,-0.30614316
1,3,1,6,5,1,2,1,1,1,1,1,2,0.037638966,0.8796472,-0.5388503,-0.60494477,-0.21309008,-0.26747382
1,2,1,1,1,1,3,1,1,2,1,1,1,-0.48009545,-0.26139715,-0.3620642,-1.1336099,-0.21309008,-0.3507112
1,2,1,3,3,1,2,1,1,1,1,1,1,-0.37392715,-0.3266245,-0.03219513,1.4832827,-0.21309008,-0.6646538
1,2,1,3,3,1,3,1,1,1,1,1,1,0.15997283,-0.47882175,0.21010391,1.7211821,-0.21309008,-0.08657997
1,2,1,2,1,1,2,1,1,2,2,1,1,-0.48009545,-0.26139715,-0.36930683,-0.049846314,-0.21309008,-0.48834783
1,3,1,4,5,1,3,1,1,1,1,1,2,0.13594297,0.8005046,-0.58000165,-1.3715093,-0.21309008,-0.26747382
1,5,1,4,2,1,4,1,1,1,1,1,2,-0.36475208,-0.15703332,-0.4272479,0.055886727,-0.21309008,-0.26747382
1,2,1,2,4,1,3,1,1,1,1,1,1,-0.082510374,-0.4396853,4.6460857,0.90175104,-0.21309008,-0.37299523
1,2,1,2,1,1,3,1,1,2,1,1,1,0.44177765,-0.26139715,-0.49671137,-1.3715093,-0.21309008,0.54523766
1,2,1,4,3,1,3,1,1,1,1,1,1,0.46580753,0.4969799,0.12997404,-0.6578113,-0.21309008,1.1423185
1,5,1,4,1,1,2,1,1,1,1,1,2,-0.4298512,-0.5814462,-0.47965825,-0.73711103,5.516352,-0.26747382
1,2,1,3,3,1,3,1,1,2,1,1,1,0.18181817,-0.26139715,0.12450914,-0.6842445,-0.21309008,8.146056
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.53475773,-0.79626167,-0.36930683,-0.20844586,-0.21309008,-0.4706517
1,5,1,3,2,1,1,1,1,1,1,1,2,-0.42111304,-0.47708234,-0.5572203,0.90175104,-0.21309008,-0.26747382
1,2,1,1,1,1,3,1,1,2,1,1,1,-0.4433953,-0.26139715,0.6018646,0.3202193,-0.21309008,-0.318596
1,2,1,2,1,1,2,1,1,1,2,1,1,-0.52640754,-0.73799187,-0.36930683,-0.023413053,-0.21309008,-0.5178414
1,2,1,2,1,1,2,1,1,2,2,1,1,-0.50630987,-0.26139715,-0.36930683,0.055886727,-0.21309008,-0.40117797
1,3,1,7,5,1,2,1,1,2,1,1,2,-0.31625545,-0.26139715,-0.53667754,-0.07627957,-0.21309008,-0.26747382
1,2,1,4,3,1,3,1,1,1,1,1,1,-0.12401651,-0.21965162,-0.03403871,-1.3979425,-0.21309008,-0.39659008
