SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,5,1,4,1,4,1,1,1,1,1,1,2,-0.40751904,-0.5010851,-0.39249963,0.18901531,-0.21463843,-0.40613943,-0.27636373
1,2,1,2,1,3,1,1,2,1,1,2,1,-0.28457004,-0.2732842,-0.30166787,1.7156739,-0.21463843,-0.35868222,-0.29283383
1,2,1,2,1,2,1,1,1,2,1,1,1,-0.5713558,-0.7097698,-0.37876132,-0.574314,-0.21463843,-0.94111186,-0.37189037
1,2,1,2,1,3,1,1,1,1,1,1,1,-0.22516449,-0.63171214,-0.115746625,1.6138967,-0.21463843,0.6393578,-0.2895398
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.47098055,-0.2732842,1.9677068,0.036349457,-0.21463843,-0.35868222,-0.40087774
1,2,1,4,1,2,1,1,1,2,2,1,1,-0.44066322,0.056469515,-0.37876132,-0.039983474,-0.21463843,-0.85482603,-0.6505646
1,5,1,4,1,4,1,1,1,1,1,1,2,-0.39723572,-0.3800161,-0.45738757,-0.8287571,-0.21463843,-0.49673963,-0.27636373
1,2,1,3,1,2,1,1,1,2,1,1,1,-0.14117734,-0.19204053,-0.37876132,-0.98142296,-0.21463843,0.05405191,0.2302569
1,2,1,2,1,4,1,1,1,1,1,1,1,-0.5103111,-0.6237471,-0.63331735,0.7233458,-0.21463843,-0.70670193,-0.79023117
1,2,1,5,1,3,1,1,1,1,1,1,1,1.557002,0.7948311,-0.38636848,1.4103422,-0.21463843,1.7538837,1.5505011
1,2,1,3,1,2,1,1,1,2,1,1,1,-0.5099018,-0.57993925,-0.37876132,0.1381267,-0.21463843,-0.7426544,-0.3000807
1,2,1,5,1,3,1,1,1,1,1,1,1,3.44364,1.6160294,-0.39249963,1.7665626,-0.21463843,2.7346666,2.834511
1,2,1,2,1,3,1,1,1,1,1,1,1,0.69869417,-0.3800161,2.4259531,1.639341,-0.21463843,3.120077,0.21115157
1,2,1,2,1,2,1,1,2,2,1,2,1,-0.47507748,-0.2732842,-0.37876132,-0.039983474,-0.21463843,-0.35868222,-0.5056277
1,2,1,5,1,3,1,1,2,1,1,2,1,-0.018678999,-0.2732842,-0.5445293,-0.8287571,-0.21463843,-0.35868222,1.1585124
1,2,1,2,1,3,1,1,2,1,1,2,1,-0.40747806,-0.2732842,0.69180447,0.29079255,9.269441,-0.35868222,0.18479939
1,5,1,4,1,2,1,1,2,1,1,2,2,-0.38703436,-0.2732842,-0.56280917,-0.7015355,-0.21463843,-0.35868222,-0.27636373
1,2,1,3,1,2,1,1,2,2,1,2,1,-0.5180953,-0.2732842,-0.37876132,-0.014539162,-0.21463843,-0.35868222,-0.39363092
