SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.3157232,-0.77061266,-0.023315553,0.85997576,-0.16497011,0.30654615,0.27649727
1,5,1,2,1,2,1,1,1,1,1,1,2,-0.2635493,0.6502643,-0.39176166,-0.59813935,-0.16497011,-0.7793851,-0.26437873
1,2,1,1,1,3,1,1,2,1,1,2,1,0.5066873,-0.2988815,-0.3437907,-1.3399874,-0.16497011,-0.28536287,0.72422904
1,2,1,1,1,2,1,1,1,1,1,1,1,-0.44088304,-0.9079641,-0.036083486,1.5250809,-0.16497011,0.032769103,-0.8940016
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.06636259,-0.46180874,-0.3644018,-1.1097586,-0.16497011,0.54055667,-0.40229613
1,3,1,3,1,1,1,1,1,1,1,1,2,-0.27256462,0.5669062,-0.30968207,0.2971945,-0.16497011,-0.76714927,-0.26437873
1,2,1,1,1,2,1,1,2,2,1,2,1,-0.49339265,-0.2988815,-0.27320227,-0.035358068,-0.16497011,-0.28536287,-0.50543433
1,2,1,1,1,3,1,1,1,1,1,1,1,0.26931515,-0.38318688,0.326234,-1.3911493,-0.16497011,1.3603582,-0.31115073
1,2,1,3,1,3,1,1,1,1,1,1,1,-0.27016693,-0.5641119,-0.28892505,1.6018238,-0.16497011,0.060299754,-0.3103512
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.28215542,-0.2988815,0.26502088,0.24603257,-0.16497011,-0.28536287,0.39002925
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.50034595,-0.2988815,1.2434459,0.015803866,-0.16497011,-0.28536287,-0.4094918
1,2,1,1,1,2,1,1,2,2,2,2,1,-0.4715736,-0.2988815,-0.27320227,-0.035358068,-0.16497011,-0.28536287,-0.44866836
1,3,1,3,1,1,1,1,2,1,1,2,2,0.0774993,-0.2988815,-0.3826417,-0.7260442,-0.16497011,-0.28536287,-0.26437873
1,2,1,1,1,3,1,1,2,1,1,2,1,-0.4984278,-0.2988815,0.020606142,-0.59813935,-0.16497011,-0.28536287,-0.30395502
1,2,1,2,1,3,1,1,1,1,1,1,1,0.31726912,-0.4949625,-0.1855048,1.3204331,-0.16497011,1.8436743,-0.067296796
1,2,1,3,1,2,1,1,1,1,1,1,1,-0.38861322,-0.32256278,-0.086425625,1.422757,-0.16497011,-0.5790231,-0.7516868
1,6,1,10,1,3,1,1,1,1,1,1,2,1.947704,4.060369,-0.39500836,-2.6446166,-0.16497011,0.05265235,-0.26437873
1,2,1,1,1,2,1,1,1,2,1,1,1,-0.52192575,-0.45801973,-0.27320227,0.42509934,-0.16497011,-0.8772719,0.3156738
1,6,1,8,2,4,1,1,1,1,1,1,2,-0.28263497,0.8472926,-0.36166582,0.8088138,-0.16497011,-0.8573886,-0.26437873
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.35648406,-0.8350257,0.15988606,1.7553096,-0.16497011,0.28513342,-0.7237036
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.35456592,-0.76114017,-0.025139542,-0.08652,-0.16497011,0.10924313,-0.030518828
1,2,1,1,1,2,1,1,2,2,1,2,1,-0.45574877,-0.2988815,-0.27320227,0.2971945,-0.16497011,-0.28536287,-0.435876
1,2,1,8,1,3,1,1,2,1,1,2,1,0.6025952,-0.2988815,-0.18306065,0.16928966,-0.16497011,-0.28536287,2.445598
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.4164265,-1.0273178,0.15988606,1.7553096,-0.16497011,0.6353845,-0.834837
1,2,1,1,1,2,1,1,1,2,1,1,1,-0.47636896,-0.5337998,-0.27320227,0.27161354,-0.16497011,-0.68149835,-0.31354928
1,2,1,1,1,3,1,1,1,1,1,1,1,-0.34209788,-0.7336699,-0.109043114,1.5250809,-0.16497011,0.103125215,-0.8108514
1,5,1,7,1,2,1,1,1,1,1,1,2,-0.004981518,1.104945,-0.14552292,-0.34232968,-0.16497011,-0.5820821,-0.26437873
1,2,1,1,1,2,1,1,2,2,1,2,1,-0.55309534,-0.2988815,-0.27320227,0.11812773,-0.16497011,-0.28536287,-0.4966396
1,6,1,6,1,3,1,1,1,1,1,1,2,0.12545326,1.142835,-0.41036636,-1.67254,-0.16497011,-0.4413699,-0.26437873
1,7,1,0,1,4,1,1,2,1,2,2,2,-0.35456592,-0.2988815,-0.0725633,-0.035358068,-0.16497011,-0.28536287,-0.26437873
1,2,1,1,1,2,1,1,2,2,1,2,1,-0.58474493,-0.2988815,-0.27320227,0.015803866,-0.16497011,-0.28536287,-0.76048154
