SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,NEXT OPEN HOUSE START TIME,SOURCE,FAVORITE,INTERESTED,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,$-SQUARE FEET,HOA-MONTH
1,2,1,2,1,1,17,1,1,1,-0.54092586,-0.8585095,-0.047461137,0.008801246,-1.0503148,-0.024021009
1,2,1,3,5,1,17,3,1,1,1.6998814,0.28081337,0.31110075,1.4639695,2.6750667,3.7849705
1,5,1,5,2,1,17,2,1,1,-0.2681425,0.40378532,-0.47406432,-0.5825317,-0.9404348,-0.024021009
1,2,1,2,1,1,13,3,1,1,-0.2923521,0.023817642,2.6938798,0.17834695,-0.015896793,0.042928737
1,2,1,2,1,1,7,2,1,1,-0.5206837,-0.8585095,-0.047461137,-0.0053134165,-0.93441397,-0.6504704
1,5,1,3,2,1,17,4,1,1,-0.47048312,-0.5865053,-0.5013837,0.860514,-0.95398164,-0.8914571
1,2,1,5,9,1,17,3,1,1,0.56632036,0.023817642,-0.23150663,0.28329572,-0.015896793,2.9187036
1,5,1,5,1,2,17,4,1,1,-0.47858,-0.31938744,-0.43447617,-0.7137177,-1.125575,-0.024021009
1,2,1,3,5,1,17,3,1,1,-0.42554554,0.023817642,0.35514703,1.0179372,-0.015896793,-0.84133184
1,5,1,5,3,1,17,2,1,1,-0.33688486,0.023817642,-0.45088208,-0.7137177,-0.015896793,-0.024021009
1,2,1,2,3,1,16,3,1,1,-0.12191312,-0.4920368,0.28381702,-1.028564,0.16137494,-0.0566791
1,2,1,3,5,1,17,3,1,1,1.1331009,-0.18257098,1.4125075,1.7001042,2.875259,0.53068584
1,6,1,5,3,1,17,3,1,1,-0.30449742,0.023817642,-0.44731557,-0.7137177,-0.015896793,-0.024021009
1,2,1,2,1,1,17,3,1,1,-0.47615093,0.023817642,-0.46336484,-2.392898,-0.015896793,-0.2192648
1,2,1,1,1,1,17,3,1,1,-0.4721025,0.023817642,-0.35422993,-1.1072756,-0.015896793,-0.5155178
1,5,1,5,3,1,17,2,1,1,-0.38546607,0.023817642,-0.4615816,-0.84490365,-0.015896793,-0.024021009
1,6,1,3,5,1,17,3,1,1,-0.38708544,0.023817642,-0.47228107,-0.5825317,-0.015896793,-0.024021009
1,2,1,2,1,1,17,3,1,1,-0.32271537,-0.8764259,-0.27612355,1.5164438,0.25921324,-0.6652509
1,3,1,6,3,1,17,1,1,1,-0.27575356,0.33211955,-0.39381808,0.33577013,-0.9283932,-0.024021009
1,5,1,5,6,1,17,2,1,1,-0.15915869,0.2938435,-0.39381808,-0.057787806,-0.7041177,-0.024021009
1,6,1,7,9,1,9,3,1,1,-0.081428796,0.420073,-0.48964995,-1.3434104,-0.6333731,-0.024021009
1,6,1,8,11,1,17,3,1,1,1.5986706,3.3355668,-0.4772385,-2.6815073,-0.12160352,-0.024021009
1,2,1,2,1,1,17,3,1,1,0.38211668,0.023817642,-0.42716485,-1.3434104,-0.015896793,0.3629591
1,2,1,3,3,1,17,3,1,1,-0.022726532,0.023817642,0.34801403,-0.084025,-0.015896793,1.2928464
1,2,1,3,5,1,17,3,1,1,-0.26563245,0.24090856,0.7091579,0.3882445,-0.8742058,2.2998495
1,2,1,5,7,1,17,3,1,1,2.4063327,0.65380114,0.23531261,-0.057787806,2.9520242,5.076659
1,6,1,6,9,1,17,3,1,1,2.2464197,0.28325653,-0.47089013,-2.392898,3.6594706,-0.024021009
1,2,1,2,3,1,17,3,1,1,0.2829301,-0.69970465,1.4125075,1.7001042,2.4598224,-0.22183533
1,2,1,6,8,1,17,3,1,1,3.0115736,1.1888512,-0.026361523,-0.32015976,2.7277489,1.4258711
1,2,1,1,1,1,17,3,1,1,-0.4664347,0.023817642,-0.070907116,-0.5825317,-0.015896793,-0.46346468
1,2,1,5,3,1,17,3,1,1,0.34163237,0.023817642,0.34801403,-1.2122244,-0.015896793,0.95867825
1,2,1,5,5,1,17,3,1,1,0.4853517,0.023817642,-0.3907152,-0.7137177,-0.015896793,5.077302
1,2,1,3,1,1,17,2,1,1,-0.4539299,0.023817642,-0.047461137,0.20458414,-0.015896793,-0.38827682
1,2,1,2,1,1,1,3,1,1,-0.34498173,0.023817642,0.05324277,0.7555652,-0.015896793,0.36810014
1,5,1,5,3,1,17,4,1,1,-0.32433513,-0.6321108,-0.32248807,-0.5825317,-0.33233216,-0.024021009
1,2,1,3,1,1,6,2,1,1,-0.52275324,-0.872354,-0.047461137,-0.18897378,-0.9298984,-0.6331193
1,5,1,3,5,1,17,4,1,1,-0.42595038,-0.63536835,-0.44613862,1.0179372,-0.735727,-0.024021009
1,5,1,6,3,1,17,1,1,1,-0.2518678,0.32234693,-0.39381808,0.46695608,-0.88323706,-0.024021009
1,2,1,2,1,1,17,2,1,1,-0.37696436,0.023817642,-0.047461137,-0.6087689,-0.015896793,-0.6035583
1,2,1,1,1,1,17,3,1,1,-0.4680541,0.023817642,0.028277263,-0.63500607,-0.015896793,-0.44097257
1,2,1,2,1,1,17,2,1,1,-0.51946914,0.023817642,-0.047461137,0.073398165,-0.015896793,-0.7095924
1,2,1,3,1,1,15,3,1,1,-0.51461107,0.023817642,-0.03716802,0.09963536,-0.015896793,-0.41398206
1,2,1,1,1,1,17,3,1,1,-0.51461107,0.023817642,-0.44538966,-1.1072756,-0.015896793,-0.63633245
1,2,1,3,3,1,17,3,1,1,0.14123498,0.023817642,-0.09066553,-0.66124326,-0.015896793,7.8155537
1,3,1,7,5,1,17,1,1,1,-0.101711445,0.6643881,-0.4651481,-1.3434104,-0.7718519,-0.024021009
1,7,1,1,4,1,17,4,1,1,-0.34498173,0.023817642,-0.16199555,0.008801246,-0.015896793,-0.024021009
1,5,1,5,3,1,17,4,1,1,-0.40534386,-0.64514095,-0.35815307,0.20458414,-0.6408991,-0.024021009
1,2,1,3,3,1,17,2,1,1,-0.3615803,0.023817642,-0.047461137,1.4902067,-0.015896793,-0.8612534
1,2,1,5,6,1,9,3,1,1,0.5845383,0.023817642,-0.056498453,-0.7137177,-0.015896793,1.4085201
1,2,1,5,5,1,17,3,1,1,0.9063887,0.58702165,0.44866067,-1.0810384,0.8040973,1.0627844
1,2,1,3,1,1,17,3,1,1,-0.2838504,0.023817642,0.16804841,0.28329572,-0.015896793,0.09433924
1,2,1,2,1,1,17,3,1,1,-0.39113387,0.023817642,0.30032992,-0.0053134165,-0.015896793,-0.09909276
1,3,1,10,8,1,17,2,1,1,-0.26401308,0.99014163,-0.047461137,0.33577013,-1.0849345,-0.024021009
1,2,1,2,1,1,2,3,1,1,-0.33445582,-0.78602934,-0.19766054,1.5951555,-0.071931764,-0.8708929
1,3,1,7,7,1,17,1,1,1,-0.33728972,0.94290733,-0.28814265,-0.32015976,-1.1707311,-0.024021009
1,2,1,3,3,1,17,3,1,1,0.100345805,-0.24772167,0.21558987,0.8342768,0.38565043,1.2928464
1,3,1,6,3,1,17,2,1,1,-0.10167137,0.023817642,-0.44374907,0.09963536,-0.015896793,-0.024021009
1,2,1,1,1,1,17,3,1,1,-0.43404725,0.023817642,-0.1721244,-0.7137177,-0.015896793,-0.5097341
1,2,1,2,1,1,17,3,1,1,-0.41542447,0.023817642,-0.35815307,-1.0023268,-0.015896793,-0.65175563
1,2,1,6,8,1,17,3,1,1,2.8132002,1.3948903,1.3490595,0.67685366,2.1964116,1.0267972
1,2,1,2,1,1,17,2,1,1,-0.5271612,0.023817642,-0.047461137,-0.057787806,-0.015896793,-0.68003136
1,2,1,5,3,1,17,2,1,1,-0.27595598,-0.3617354,-0.047461137,-0.32015976,-0.5099463,0.02236454
1,5,1,3,2,1,17,4,1,1,-0.45024097,-0.6060505,-0.5079461,0.9129884,-0.860659,-0.9377265
1,2,1,3,1,1,17,2,1,1,-0.55108744,-0.65491354,-0.047461137,0.15210976,-1.2309393,-0.6196241
