SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,PRICE,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET
1,3,1,9,6,1,2,1,1,1,1,1,1,0.15635128,1.2073119,-0.29323667,-0.22548029,-0.17241736,-0.48295873
1,5,1,7,7,2,2,1,1,1,1,1,1,-0.25984827,0.811515,-0.36029574,0.08668069,-0.17241736,-0.821955
1,5,1,3,2,1,4,1,1,1,1,1,1,-0.5265537,0.32681334,-0.42811728,0.9451234,-0.17241736,-1.0721314
1,3,1,7,3,1,1,1,1,1,1,1,1,0.46724766,1.532156,-0.39515048,-1.083923,-0.17241736,-0.3038384
1,2,1,2,2,1,3,1,1,2,1,1,2,-0.30878073,-0.28526136,-0.104694284,0.55492216,1.8358153,-0.25572756
1,2,1,2,1,1,3,1,1,2,1,1,2,-0.40578428,-0.28526136,0.13257213,0.71100265,-0.17241736,-0.25572756
1,3,1,7,5,1,2,1,1,2,1,1,2,-0.23554304,-0.28526136,-0.3239887,0.89309657,-0.17241736,-0.25572756
1,6,1,5,7,1,3,1,1,1,1,1,1,3.377839,1.2346672,-0.42971477,-2.5406742,-0.17241736,2.8374288
1,2,1,4,8,1,3,1,1,2,1,1,2,0.6859907,-0.28526136,-0.15730317,0.24276118,-0.17241736,-0.25572756
1,3,1,9,5,1,4,1,1,1,1,1,1,-0.023105275,2.2374098,-0.3906121,1.6995125,-0.17241736,-0.89005035
1,2,1,3,1,1,3,1,1,1,1,1,1,-0.3325466,-0.59728265,-0.32253644,-0.6156815,-0.17241736,0.13137957
1,5,1,5,8,1,1,1,1,1,1,1,1,0.66173977,1.8911943,-0.3533974,1.2572844,-0.17241736,-0.26979074
1,2,1,2,1,1,3,1,1,2,1,1,2,-0.507638,-0.28526136,2.3503869,0.24276118,-0.17241736,-0.25572756
1,3,1,8,5,1,1,1,1,1,1,1,1,-0.02213524,1.6646582,-0.3788123,-0.35554737,-0.17241736,-0.786427
1,2,1,3,3,1,4,1,1,1,1,1,1,0.17187186,-0.22029252,0.650274,0.86708313,-0.17241736,0.8138132
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.43003517,-0.99136984,-0.22294627,0.8410697,-0.17241736,1.3363708
1,3,1,7,7,1,1,1,1,2,1,2,2,0.3610288,-0.28526136,-0.37336627,0.008640442,-0.17241736,-0.25572756
1,5,1,3,1,1,2,1,1,1,1,1,1,-0.47077665,-0.6878971,-0.37699696,-0.6156815,-0.17241736,-0.23426273
1,6,1,9,11,1,3,1,1,1,1,1,1,7.014502,5.549965,-0.39449695,-1.3700706,-0.17241736,1.5362159
1,2,1,3,4,1,4,1,1,1,1,1,1,-0.6143419,-0.30577782,-0.42601147,0.21674776,-0.17241736,-1.0780528
1,2,1,4,8,1,3,1,1,2,1,1,2,0.5623111,-0.28526136,-0.19651476,0.16472094,-0.17241736,-0.25572756
1,2,1,2,1,1,3,1,1,2,1,1,2,-0.58524084,-0.28526136,0.62634766,0.24276118,-0.17241736,-0.25572756
