SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,SQUARE FEET,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,1,1,1,2,1,1,1,1,1,1,-0.5910691,-0.86646295,0.08284173,-0.20307691,-0.8853358,-0.63782394
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.14236186,-0.43268278,-1.1080264,-0.20307691,0.4514908,-0.4110335
1,3,1,5,5,1,2,1,1,1,1,1,2,-0.28602692,0.31890157,-0.20193106,-0.20307691,-0.7297885,-0.2804758
1,5,1,4,3,1,4,1,1,1,1,1,2,-0.42772394,-0.40406534,-0.84914196,-0.20307691,-0.61532915,-0.2804758
1,2,1,3,1,1,2,1,1,1,1,1,1,-0.47102025,-0.41460863,-0.9785842,-0.20307691,-0.7576696,-0.24247308
1,2,1,3,1,1,2,1,1,2,1,2,2,-0.48873237,-0.30315122,-0.6679229,-0.20307691,-0.2631465,-0.2804758
1,3,1,7,9,1,2,1,1,1,1,1,2,-0.04435476,1.0478933,-0.46081543,-0.20307691,-0.6476125,-0.2804758
1,5,1,4,5,1,2,1,1,2,1,2,2,-0.41792324,-0.30315122,-0.7196998,-0.20307691,-0.2631465,-0.2804758
1,2,1,3,1,1,2,1,1,2,1,2,1,-0.5288799,-0.30315122,0.056953296,-0.20307691,-0.2631465,-0.32154325
1,2,1,1,1,1,3,1,1,2,1,2,1,-0.4379576,-0.30315122,1.6879247,-0.20307691,-0.2631465,-0.65498644
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.42378792,-0.30315122,-0.020712012,-0.20307691,-0.2631465,0.0118999425
1,6,1,5,8,1,3,1,1,1,1,1,2,2.1405346,0.3399881,-2.3765597,-0.20307691,3.6695597,-0.2804758
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.26634678,-0.36189228,1.5584826,-0.20307691,-0.11787114,-0.6672454
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.52455026,-0.30315122,0.2640608,-0.20307691,-0.2631465,-0.5005238
1,2,1,5,7,1,3,1,1,1,1,1,1,1.4497617,0.70674324,1.4290404,-0.20307691,1.6811953,1.3989991
1,6,1,4,1,1,3,1,1,1,1,1,2,-0.4631482,-0.056137513,-1.3410223,-0.20307691,-0.94109803,-0.2804758
1,3,1,4,3,1,3,1,1,2,1,2,2,-0.31594074,-0.30315122,0.056953296,1.6247917,-0.2631465,-0.2804758
1,6,1,10,14,1,3,1,1,1,1,1,2,-0.0636413,4.4428253,-0.5902576,-0.20307691,-1.1142545,-0.2804758
