SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,3,1,1,3,1,1,2,1,1,2,1,-0.27962324,-0.038568158,0.10657376,-0.18831599,-0.28630862,0.17996252
1,2,1,3,4,1,3,1,1,1,1,1,1,1,0.40253854,0.38885272,1.3688667,-0.18831599,2.8294404,4.3984537
1,3,1,6,6,1,1,1,1,1,1,1,1,2,1.0550063,-0.21135835,-0.3478517,-0.18831599,-1.0378119,-0.25913695
1,6,1,4,6,1,4,1,1,1,1,1,1,1,0.92499423,-0.31634706,1.2678832,-0.18831599,-0.8940197,-0.94701195
1,2,1,3,3,1,3,1,1,1,1,1,1,1,-0.41846323,-0.3707883,-1.1052275,-0.18831599,0.5000075,-0.40170172
1,2,1,5,5,1,3,1,1,2,1,1,2,1,-0.27962324,-0.37714693,-0.85276884,-0.18831599,-0.28630862,1.2791368
1,2,1,2,1,1,2,1,1,2,2,1,2,1,-0.27962324,-0.2814818,-0.019655528,-0.18831599,-0.28630862,-0.5521075
1,2,1,2,1,1,3,1,1,1,1,1,1,1,-0.6720669,-0.038568158,-0.0953931,-0.18831599,0.073171794,-0.07023864
1,2,1,1,1,1,2,1,1,1,2,1,1,1,-0.8807282,-0.2814818,0.056082048,-0.18831599,-0.87888366,-0.6654465
1,2,1,4,5,1,3,1,1,1,1,1,1,1,0.5959515,-0.2802315,1.6213253,-0.18831599,1.0903121,1.2777112
1,5,1,4,1,2,4,1,1,1,1,1,1,2,-0.18893586,-0.35792816,-0.72653955,-0.18831599,-0.9924038,-0.25913695
1,2,1,2,1,1,3,1,1,2,1,1,2,1,-0.27962324,0.37806448,-0.044901386,-0.18831599,-0.28630862,0.09014671
1,2,1,2,1,1,3,1,1,1,1,1,1,1,-0.6239143,-0.09215205,0.18231134,-0.18831599,-0.14024605,0.3531787
1,5,1,5,3,1,2,1,1,2,1,1,2,2,-0.27962324,-0.31720442,-0.22162239,-0.18831599,-0.28630862,-0.25913695
1,2,1,4,3,1,3,1,1,1,1,1,1,1,-0.20177655,-0.09958235,-1.357686,-0.18831599,-0.016130704,-0.42166078
1,2,1,2,1,1,3,1,1,2,1,1,2,1,-0.27962324,-0.100475416,0.46001577,4.7096586,-0.28630862,0.26122442
1,2,1,2,1,1,3,1,1,1,1,1,1,1,-0.7202195,0.1656222,0.23280305,-0.18831599,0.09587582,0.022428455
1,2,1,3,1,1,3,1,1,2,1,1,2,1,-0.27962324,0.040021554,0.056082048,-0.18831599,-0.28630862,-0.25913695
1,2,1,2,1,1,3,1,1,2,1,1,2,1,-0.27962324,0.439293,0.4347699,-0.18831599,-0.28630862,-0.1921315
1,2,1,2,2,1,3,1,1,1,1,1,1,1,-0.6271245,0.12396965,1.4193584,-0.18831599,1.7335927,-0.03816157
1,2,1,3,3,1,3,1,1,2,1,1,2,1,-0.27962324,3.4890382,0.25804892,2.8216126,-0.28630862,-0.12940301
1,3,1,8,3,1,2,1,1,1,1,1,1,2,1.1657572,-0.3707883,-1.3324401,-0.18831599,-0.93942773,-0.25913695
1,2,1,4,4,1,3,1,1,1,1,1,1,1,-0.31894788,-0.21921733,0.8134578,-0.18831599,0.35924253,1.0553101
1,5,1,3,1,1,2,1,1,1,1,1,1,2,-0.6776847,-0.3707883,-0.60031027,-0.18831599,-0.2007901,-0.25913695
1,2,1,3,3,1,3,1,1,1,1,1,1,1,-0.55008036,-0.39579412,1.646571,-0.18831599,0.15339269,-0.6476259
1,5,1,3,4,1,4,1,1,1,1,1,1,2,-0.50032264,-0.36960945,0.9396871,-0.18831599,-0.60038096,-0.25913695
1,3,1,4,3,1,3,1,1,2,1,1,2,2,-0.27962324,-0.3886496,0.030836187,1.836545,-0.28630862,-0.25913695
1,6,1,7,10,1,3,1,1,1,1,1,1,2,3.4128785,-0.40075955,-2.619979,-0.18831599,0.017168533,-0.25913695
1,5,1,3,2,1,4,1,1,1,1,1,1,1,-0.4714311,-0.4315167,0.83870363,-0.18831599,-0.7260099,-0.84008837
1,2,1,1,1,1,3,1,1,2,1,1,2,1,-0.27962324,0.105572514,-0.65080196,-0.18831599,-0.28630862,-0.28907555
1,3,1,7,3,2,2,1,1,1,2,1,1,2,-0.095840834,-0.2814818,1.3436208,-0.18831599,-0.623085,-0.25913695
1,2,1,3,1,1,2,1,1,1,2,1,1,1,-0.43932936,-0.2814818,-0.4488351,-0.18831599,-0.60794896,-0.29335248
1,6,1,6,8,1,3,1,1,1,1,1,1,2,0.53977346,-0.41319102,-1.3324401,-0.18831599,-0.49745604,-0.25913695
1,2,1,4,5,1,3,1,1,2,1,1,2,2,-0.27962324,-0.41765633,-1.3829318,-0.18831599,-0.28630862,-0.25913695
1,3,1,6,5,1,3,1,1,1,1,1,1,2,0.92499423,-0.3886496,-1.3829318,-0.18831599,-0.40966716,-0.25913695
1,2,1,3,3,1,2,1,1,1,2,1,1,1,-0.2788207,-0.2814818,-0.0953931,-0.18831599,-0.85163885,-0.090197705
1,6,1,5,8,2,4,1,1,1,1,1,1,2,0.6906516,-0.3681091,0.78821194,-0.18831599,-0.88342446,-0.25913695
1,5,1,4,3,1,1,1,1,1,1,1,1,2,-0.14078325,-0.3886496,-0.72653955,-0.18831599,-0.5474049,-0.25913695
1,2,1,4,5,1,3,1,1,1,1,1,1,1,0.4699522,-0.101082705,1.2426374,-0.18831599,0.28204882,1.1864697
1,6,1,9,11,1,3,1,1,1,1,1,1,2,5.1784735,-0.3880066,-1.3324401,-0.18831599,1.6094774,-0.25913695
1,2,1,1,1,1,3,1,1,1,1,1,1,1,-0.75633395,-0.121730365,1.318375,-0.18831599,0.95862883,-0.49223033
1,3,1,6,3,1,2,1,1,2,1,1,2,2,-0.27962324,-0.36982378,-0.72653955,-0.18831599,-0.28630862,-0.25913695
1,2,1,2,3,1,3,1,1,1,1,1,1,1,-0.35907504,0.3615249,-1.0294899,-0.18831599,0.30172566,0.13719308
1,2,1,4,4,1,3,1,1,1,1,1,1,1,0.6842312,-0.29405618,1.646571,-0.18831599,0.19123273,-0.45088655
1,2,1,2,1,1,3,1,1,2,1,1,2,1,-0.27962324,0.13057834,0.6872285,-0.18831599,-0.28630862,0.60836965
1,5,1,5,4,1,2,1,1,2,1,1,2,2,-0.27962324,-0.3720386,-0.0953931,-0.18831599,-0.28630862,-0.25913695
1,2,1,5,7,1,3,1,1,1,1,1,1,1,1.2973744,0.0508455,-0.3478517,-0.18831599,2.8824165,1.7816777
1,5,1,5,2,1,1,1,1,1,1,1,1,2,0.016515229,-0.3886496,-0.72653955,-0.18831599,-0.61854416,-0.25913695
1,2,1,3,3,1,3,1,1,1,1,1,1,1,-0.46420822,-0.3707883,-1.1052275,-0.18831599,3.2017865,-0.4344916
1,3,1,7,3,1,1,1,1,1,1,1,1,2,1.4065202,-0.3886496,-1.0547357,-0.18831599,-0.27192938,-0.25913695
1,5,1,4,3,1,2,1,1,1,1,1,1,2,-0.3197504,-0.40372452,-0.85276884,-0.18831599,-0.6291394,-0.25913695
1,5,1,4,3,1,2,1,1,2,1,1,2,2,-0.27962324,-0.38507733,-0.85276884,1.4808263,-0.28630862,-0.25913695
1,2,1,1,1,1,3,1,1,1,1,1,1,1,-0.80047387,0.31687167,-0.0953931,-0.18831599,-0.7335779,-0.63265663
1,2,1,4,3,1,3,1,1,1,1,1,1,1,0.042196613,-0.093580954,-0.29735997,-0.18831599,1.6563991,0.78514993
1,2,1,3,3,1,3,1,1,1,1,1,1,1,-0.4529726,0.5195974,1.2931291,-0.18831599,0.35318813,-0.24060354
1,3,1,9,3,2,2,1,1,1,1,1,1,2,0.8447399,-0.3707883,-1.3324401,-0.18831599,-0.7184419,-0.25913695
1,6,1,5,5,1,4,1,1,1,1,1,1,2,0.022133032,-0.31720442,-0.85276884,-0.18831599,-0.7169283,-0.25913695
1,5,1,5,7,1,2,1,1,2,1,1,2,2,-0.27962324,-0.31720442,-0.60031027,-0.18831599,-0.28630862,-0.25913695
1,3,1,7,7,1,2,1,1,2,1,1,2,2,-0.27962324,-0.3707883,-1.3829318,-0.18831599,-0.28630862,-0.25913695
1,3,1,7,7,1,2,1,1,1,1,1,1,2,0.271724,-0.3707883,-0.85276884,-0.18831599,-0.7350915,-0.25913695
1,5,1,3,2,1,4,1,1,1,1,1,1,1,-0.45217004,-0.42494375,0.78821194,-0.18831599,-0.81985325,-0.788765
1,2,1,3,1,1,2,1,1,1,2,1,1,1,-0.5147684,-0.2814818,0.15706548,-0.18831599,-0.83498925,-0.28978837
1,3,1,6,5,1,2,1,1,1,1,1,1,2,0.81263816,-0.3734675,-0.60031027,-0.18831599,-0.48988804,-0.25913695
1,3,1,0,0,1,3,1,1,2,1,1,2,2,-0.27962324,-0.3783615,-1.534407,-0.18831599,-0.28630862,-0.25913695
1,6,1,6,6,1,3,1,1,1,1,1,1,2,1.3262659,-0.31005988,-1.1052275,-0.18831599,-0.23560296,-0.25913695
1,2,1,3,4,1,3,1,1,1,1,1,1,1,-0.054108582,1.4920379,1.5960793,-0.18831599,3.0307496,0.78871405
1,2,1,3,1,1,3,1,1,1,1,1,1,1,-0.441737,13.211085,-0.37309754,12.289206,-0.3566911,0.024566926
1,5,1,3,1,1,4,1,1,1,1,1,1,2,-0.6126787,-0.31720442,-0.22162239,-0.18831599,-0.4550752,-0.25913695
1,2,1,4,3,1,3,1,1,1,1,1,1,1,0.45951912,-0.010597366,-0.65080196,-0.18831599,0.40313697,1.2520496
1,4,1,9,3,1,4,1,1,1,1,1,1,2,0.17702389,-0.32649228,-1.1052275,-0.18831599,-0.7683908,-0.25913695
1,2,1,3,1,1,2,1,1,2,2,1,2,1,-0.27962324,-0.2814818,0.030836187,-0.18831599,-0.28630862,-0.29762945
1,2,1,4,3,1,2,1,1,1,2,1,1,1,-0.2788207,-0.2814818,0.18231134,-0.18831599,-0.7880676,-0.03887439
1,2,1,2,1,1,3,1,1,1,1,1,1,1,-0.6199016,0.47762334,0.030836187,-0.18831599,-0.92883253,-0.5150407
1,2,1,3,1,1,4,1,1,1,1,1,1,1,-0.43932936,-0.4243722,-0.12063896,-0.18831599,-0.8137988,-0.2512959
1,2,1,3,1,1,3,1,1,2,1,1,2,1,-0.27962324,0.20613162,-0.070147246,-0.18831599,-0.28630862,-0.41880947
1,2,1,1,1,1,3,1,1,2,1,1,2,1,-0.27962324,-0.09515275,-0.72653955,-0.18831599,-0.28630862,-0.36534768
1,3,1,7,5,1,1,1,1,1,1,1,1,2,0.17060354,-0.3886496,-0.72653955,-0.18831599,-0.30068782,-0.25913695
1,2,1,1,1,1,3,1,1,2,1,1,2,1,-0.27962324,1.2036852,0.0055903303,-0.18831599,-0.28630862,-0.40811712
1,2,1,1,1,1,2,1,1,1,2,1,1,1,-0.92085534,-0.2814818,0.25804892,-0.18831599,-0.9182373,-0.63336945
1,3,1,6,6,1,1,1,1,1,1,1,1,2,0.9410451,-0.30963123,1.2678832,-0.18831599,-0.67908823,-0.25913695
1,2,1,3,1,1,3,1,1,2,1,1,2,1,-0.27962324,-0.06089478,-1.180965,-0.18831599,-0.28630862,-0.27767035
1,2,1,1,1,1,3,1,1,2,1,1,2,1,-0.27962324,-0.14277098,0.20755719,-0.18831599,-0.28630862,-0.09162335
1,5,1,7,7,2,2,1,1,1,1,1,1,2,0.72997624,-0.3543559,0.0813279,-0.18831599,-0.80169,-0.25913695
1,2,1,4,4,1,3,1,1,2,1,1,2,1,-0.27962324,-0.31409654,-0.72653955,-0.18831599,-0.28630862,5.8319426
1,2,1,1,1,1,2,1,1,2,2,1,2,1,-0.27962324,-0.2814818,0.0055903303,-0.18831599,-0.28630862,-0.72104675
1,6,1,4,3,1,3,1,1,2,1,1,2,2,-0.27962324,-0.3707883,-0.72653955,-0.051501054,-0.28630862,-0.25913695
1,2,1,2,1,1,1,1,1,1,2,2,1,2,-0.7202195,-0.2814818,-0.032278456,-0.18831599,-0.9167237,-0.25913695
1,5,1,3,3,1,4,1,1,1,1,1,1,1,-0.16325447,-0.40293863,0.8134578,-0.18831599,-0.83801645,-0.7894779
1,2,1,2,1,1,2,1,1,2,2,1,2,1,-0.27962324,-0.2814818,-0.044901386,-0.18831599,-0.28630862,-0.49365598
1,2,1,2,1,1,3,1,1,1,1,1,1,1,-0.6937356,1.0645456,0.8639495,-0.18831599,-0.0993788,-0.4223736
1,2,1,3,3,1,3,1,1,1,1,1,1,1,-0.2804258,1.4920379,1.5960793,-0.18831599,2.6886754,0.40806612
1,2,1,4,4,1,3,1,1,1,1,1,1,1,0.36401647,-0.2814818,-1.2819484,-0.18831599,1.5701238,0.2933015
1,2,1,1,1,1,3,1,1,1,1,1,1,1,-0.83016795,0.15690589,0.5609992,-0.18831599,0.8027278,-0.34895274
1,2,1,1,1,1,3,1,1,2,1,1,2,1,-0.27962324,-0.27755234,-1.1052275,-0.18831599,-0.28630862,-0.3717631
1,2,1,2,2,1,3,1,1,2,1,1,2,1,-0.27962324,-0.10286883,0.53575337,1.891271,-0.28630862,-0.026756387
1,3,1,6,6,1,1,1,1,1,1,1,1,2,0.6842312,-0.34781867,-1.3829318,-0.18831599,-0.5428641,-0.25913695
1,3,1,5,5,1,1,1,1,2,1,2,2,2,-0.27962324,-0.37168136,-0.032278456,-0.18831599,-0.28630862,-0.25913695
1,2,1,2,4,1,3,1,1,1,1,1,1,1,-0.40482,2.4396155,0.83870363,-0.18831599,0.46216744,-0.39599913
1,3,1,9,7,1,2,1,1,1,2,1,1,2,1.1015538,-0.2814818,0.28329477,-0.18831599,-0.9515366,-0.25913695
1,2,1,3,3,1,3,1,1,1,1,1,1,1,-0.3269733,0.9759536,1.1416539,-0.18831599,0.6861805,0.2569475
1,2,1,2,1,1,3,1,1,1,1,1,1,1,-0.46501076,0.9045084,-0.17113067,1.5629152,-0.87131566,-0.416671
1,3,1,7,8,1,2,1,1,2,1,1,2,2,-0.27962324,-0.3350657,-0.60031027,-0.18831599,-0.28630862,-0.25913695
1,2,1,3,4,1,3,1,1,1,1,1,1,1,0.27573672,-0.3404241,1.2931291,-0.18831599,0.783051,0.744519
1,2,1,3,2,1,2,1,1,2,2,1,2,1,-0.27962324,-0.2814818,-0.0953931,-0.18831599,-0.28630862,-0.3860196
1,3,1,6,4,1,1,1,1,1,1,1,1,2,0.7805365,-0.3886496,-1.3324401,-0.18831599,-0.6367074,-0.25913695
1,2,1,3,4,1,3,1,1,1,1,1,1,1,0.36321393,0.78755265,0.3337865,-0.18831599,-0.7396323,2.7511182
