SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,LOT SIZE_na,YEAR BUILT_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,3,3,1,2,1,1,2,1,1,1,-0.4598838,-0.36159903,-0.07454835,-0.20961694,-0.8455726,-0.0748451
1,3,1,8,5,1,1,1,1,1,1,1,2,0.0014993846,-0.51337194,-0.33098343,-0.20961694,-0.76134044,-0.26232257
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.35085377,0.34500816,1.7717841,-0.20961694,0.227279,-0.636608
1,2,1,3,1,1,2,1,1,2,1,1,1,-0.5192742,-0.36159903,-0.048904847,-0.20961694,-0.9549266,-0.293792
1,2,1,3,1,1,3,1,1,1,1,2,1,-0.2932363,-0.33582738,-1.0490016,-0.20961694,-0.2537309,-0.29981807
1,3,1,5,5,1,1,1,1,1,2,2,2,-0.36415014,-0.511884,-0.048904847,-0.20961694,-0.2537309,-0.26232257
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.34908092,0.23358896,-0.38227043,-0.20961694,-0.49977744,-0.06814948
1,2,1,1,1,1,3,1,1,1,1,2,1,-0.4820444,0.11776538,-0.5874185,-0.20961694,-0.2537309,-0.2850877
1,3,1,11,10,1,1,1,1,1,1,1,2,-0.038832866,-0.52902544,-0.56177497,-0.20961694,-0.9785707,-0.26232257
1,5,1,3,2,1,4,1,1,1,1,1,1,-0.4864765,-0.6006265,0.8229744,-0.20961694,-0.8145397,-0.7310163
1,2,1,2,1,1,3,1,1,1,1,2,1,-0.43772325,-0.013711643,0.1562432,-0.20961694,-0.2537309,0.21708412
1,3,1,7,3,1,1,1,1,1,1,1,2,0.4486998,-0.5401554,-1.0490016,-0.20961694,-0.27959165,-0.26232257
1,5,1,3,2,1,1,1,1,1,1,1,2,-0.4284158,-0.5314657,0.8742614,-0.20961694,-0.62982005,-0.26232257
1,2,1,1,4,1,3,1,1,1,1,1,1,0.5821065,-0.5539043,-2.382464,-0.20961694,0.67060614,0.41259634
1,5,1,3,2,1,4,1,1,1,1,1,1,-0.46431592,-0.611578,0.8742614,-0.20961694,-0.72291875,-0.77922475
1,2,1,3,3,1,3,1,1,1,1,1,1,0.64858824,0.18698575,1.3871315,-0.20961694,1.9193109,0.6469432
1,5,1,3,4,1,4,1,1,1,1,1,2,-0.43772325,-0.5084319,0.9768354,-0.20961694,-0.6002649,-0.26232257
1,2,1,4,4,1,3,1,1,1,1,1,1,2.5543978,-0.36903888,-1.5362282,-0.20961694,1.577949,3.9947553
1,6,1,12,13,1,3,1,1,1,1,1,2,0.8458173,-0.41427317,-0.84385353,-0.20961694,-0.5736653,-0.26232257
1,6,1,10,12,1,3,1,1,1,1,1,2,0.0059315,-0.5163479,-0.5874185,-0.20961694,-1.1027023,-0.26232257
1,2,1,3,3,1,2,1,1,2,1,1,1,-0.48824936,-0.36159903,0.104956195,-0.20961694,-0.8810388,-0.03400179
1,2,1,3,1,1,2,1,1,2,1,1,1,-0.45279244,-0.36159903,-0.97207105,-0.20961694,-0.74360734,-0.18331422
1,3,1,9,5,1,4,1,1,1,1,1,2,0.00061296154,-0.53271556,1.6948535,-0.20961694,-0.8647834,-0.26232257
1,2,1,3,1,1,2,1,1,2,1,2,1,-0.5347866,-0.36159903,-0.02326134,-0.20961694,-0.2537309,-0.36610475
1,2,1,2,1,1,3,1,1,1,1,2,1,-0.34952414,0.35179332,-0.33098343,-0.20961694,-0.2537309,-0.6004516
1,2,1,3,1,1,3,1,1,1,1,1,1,-0.1979458,-0.48361257,1.361488,4.0105867,0.6218401,-0.73905104
1,2,1,2,1,1,3,1,1,1,1,2,1,-0.397391,0.8393118,0.46396527,-0.20961694,-0.2537309,-0.17059253
1,2,1,3,1,1,3,1,1,1,1,1,1,-0.1172813,0.34971014,0.8229744,-0.20961694,0.9587687,0.71389943
1,5,1,4,3,1,2,1,1,1,1,1,2,-0.23783484,-0.36159903,-0.07454835,-0.20961694,-0.4702223,-0.26232257
1,2,1,1,1,1,3,1,1,1,1,2,1,-0.4018231,-0.13048753,0.23317373,-0.20961694,-0.2537309,-0.07618422
1,7,1,1,0,1,4,1,1,1,2,2,2,-0.5263655,1.3523043,-0.048904847,-0.20961694,-0.2537309,-0.26232257
1,2,1,3,2,1,3,1,1,1,1,1,1,0.33834013,2.5933309,1.6435666,-0.20961694,2.5370133,-0.07551466
1,3,1,6,3,1,2,1,1,1,1,2,2,-0.32647714,-0.5324775,-0.12583536,-0.20961694,-0.2537309,-0.26232257
1,6,1,5,3,1,3,1,1,1,1,1,2,0.2253212,-0.36159903,-0.715636,-0.20961694,0.33663303,-0.26232257
1,3,1,4,3,1,1,1,1,1,1,1,2,-0.28880417,-0.5401554,0.18188672,-0.20961694,-0.6386866,-0.26232257
