SALE TYPE,PROPERTY TYPE,STATE OR PROVINCE,BEDS,BATHS,STATUS,SOURCE,FAVORITE,INTERESTED,SQUARE FEET_na,LOT SIZE_na,$-SQUARE FEET_na,HOA-MONTH_na,PRICE,SQUARE FEET,LOT SIZE,DAYS ON MARKET,$-SQUARE FEET,HOA-MONTH
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.278534,-0.635951,0.62941164,-0.19396693,0.2294457,-0.5632031
1,2,1,4,3,1,3,1,1,1,1,1,1,0.42196453,0.5694051,0.0032602034,-0.19396693,0.39164382,1.3225267
1,3,1,7,3,1,1,1,1,1,1,1,2,0.40069938,1.6452903,-0.3845982,-0.19396693,-0.24853635,-0.2725709
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.37026596,-0.31500894,-0.38302228,-0.19396693,-0.3289177,-0.5511873
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.43739706,-0.31500894,2.3868139,-0.19396693,-0.3289177,-0.46482372
1,2,1,5,8,1,3,1,1,1,1,1,1,3.526257,1.2869657,-0.19032083,-0.19396693,3.5997217,2.4760437
1,6,1,3,3,1,2,1,1,2,1,2,2,-0.42071852,-0.31500894,-0.37726837,2.1891835,-0.3289177,-0.2725709
1,2,1,2,3,1,3,1,1,1,1,1,1,0.7138389,-0.3934209,1.5448718,-0.19396693,3.0499706,0.2711441
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.4540756,-0.451774,-0.26847523,-0.19396693,-0.69063383,-0.24778831
1,2,1,2,1,1,3,1,1,1,1,1,1,0.14051422,-0.7034217,-0.071394205,-0.19396693,2.382518,-0.29660252
1,2,1,3,2,1,3,1,1,1,1,1,1,0.2968755,-0.5930979,1.5448718,-0.19396693,2.4873009,-0.09233388
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.5349665,-0.6851864,-0.18302764,-0.19396693,-0.8427843,-0.5324126
1,5,1,4,3,1,2,1,1,2,1,2,2,-0.3181455,-0.31500894,-0.33695427,-0.19396693,-0.3289177,-0.2725709
1,2,1,2,2,1,3,1,1,2,1,2,1,-0.28687328,-0.31500894,-0.21601191,-0.19396693,-0.3289177,-0.3033614
1,5,1,3,1,1,4,1,1,1,1,1,2,-0.43322742,-0.6487157,-0.31129983,-0.19396693,-0.42221752,-0.2725709
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.23475285,-0.58853906,0.18247476,-0.19396693,0.31126246,-0.46482372
1,6,1,5,6,1,3,1,1,1,1,1,2,0.06754562,1.1164653,-0.4124516,-0.19396693,-0.4380067,-0.2725709
1,3,1,8,5,1,1,1,1,1,1,1,2,-0.020016693,1.7866141,-0.36810607,-0.19396693,-0.7164707,-0.2725709
1,2,1,3,1,1,3,1,1,2,1,2,1,-0.34983474,-0.31500894,-0.04834186,-0.19396693,-0.3289177,-0.28909263
1,2,1,3,1,1,4,1,1,1,1,1,1,-0.47492376,-0.451774,-0.4212474,-0.19396693,-0.7624029,-0.26130608
1,2,1,1,1,1,2,1,1,2,2,2,1,-0.45157382,-0.31500894,-0.26847523,-0.19396693,-0.3289177,-0.46332175
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.41237926,-0.31500894,-0.26847523,-0.19396693,-0.65044314,-0.2305156
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.38277486,-0.96145177,0.1604486,-0.19396693,0.68302625,-0.8200408
1,2,1,2,1,1,1,1,1,1,2,1,2,-0.5641543,-0.58853906,-0.26847523,-0.19396693,-1.022207,-0.2725709
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.42238638,-0.31500894,-0.27465063,-0.19396693,-0.3289177,-0.54743236
1,2,1,3,2,1,2,1,1,1,2,1,1,-0.4641244,-0.22383225,-0.26847523,-0.19396693,-0.8470904,0.035334002
1,2,1,3,3,1,3,1,1,2,1,2,1,-0.0996567,-0.31500894,0.20435433,-0.19396693,-0.3289177,1.2662027
1,2,1,2,1,1,3,1,1,1,1,1,1,-0.42071852,-0.9003634,-0.29044643,-0.19396693,0.159112,-0.65031767
1,5,1,4,2,1,2,1,1,1,1,1,2,-0.44323456,-0.10165546,-0.3662736,-0.19396693,-0.8427843,-0.2725709
1,2,1,3,3,1,3,1,1,2,1,2,1,-0.0996567,-0.31500894,0.37019193,-0.19396693,-0.3289177,0.8456496
1,2,1,3,3,1,3,1,1,1,1,1,1,0.02584928,-0.20103806,-0.0850277,-0.19396693,0.46628365,-0.4167605
1,3,1,7,5,1,2,1,1,2,1,2,2,-0.32439998,-0.31500894,-0.36781287,-0.19396693,-0.3289177,-0.2725709
1,5,1,3,3,1,4,1,1,1,1,1,1,-0.44323456,0.103492126,-0.41281807,-0.19396693,-0.9116826,-0.8403175
1,2,1,4,3,1,3,1,1,2,1,2,1,0.35733518,-0.31500894,0.4510034,-0.19396693,-0.3289177,1.3345425
1,5,1,3,2,1,4,1,1,1,1,1,1,-0.4790934,-0.4663623,-0.42183378,-0.19396693,-0.7681444,-0.8275507
1,2,1,5,6,1,3,1,1,1,1,1,1,6.238604,2.3418803,1.5128038,-0.19396693,4.492529,4.008809
1,3,1,5,7,1,2,1,1,2,1,2,2,-0.36651328,-0.31500894,-0.30243072,-0.19396693,-0.3289177,-0.2725709
1,3,1,8,3,1,2,1,1,1,1,1,2,-0.24559389,1.3717601,-0.3662736,-0.19396693,-0.8815396,-0.2725709
1,5,1,3,3,1,1,1,1,1,1,1,2,-0.32481694,-0.22565578,-0.40548825,-0.19396693,-0.46240819,-0.2725709
1,6,1,5,3,1,3,1,1,1,1,1,2,0.19054982,0.18646292,-0.27465063,-0.19396693,0.35001776,-0.2725709
1,2,1,4,4,1,3,1,1,1,1,1,1,2.3816924,1.9188205,-0.2792318,-0.19396693,1.5557382,4.4729195
1,2,1,2,1,1,2,1,1,2,2,2,1,-0.5624861,-0.31500894,-0.26847523,3.2929583,-0.3289177,-0.49861816
1,2,1,2,1,1,3,1,1,2,1,2,1,-0.23892248,-0.31500894,1.1994898,-0.19396693,-0.3289177,-0.107353635
1,2,1,3,1,1,3,1,1,1,1,1,1,-0.13176289,-0.6651275,0.16334388,-0.19396693,0.95431334,0.79308045
1,2,1,2,1,1,2,1,1,2,2,2,1,-0.38277486,-0.31500894,-0.26847523,-0.19396693,-0.3289177,-0.4911083
1,2,1,3,1,1,2,1,1,1,2,1,1,-0.45574346,-0.49736238,-0.26847523,-0.19396693,-0.6633616,-0.33640486
1,6,1,3,1,1,4,1,1,1,1,1,2,-0.2660251,-0.050596505,-0.31129983,-0.19396693,-0.4380067,-0.2725709
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.37068292,-1.0462462,-0.21077108,-0.19396693,1.3418664,-0.20648399
1,2,1,3,3,1,3,1,1,1,1,1,1,-0.27644917,-0.5265389,-0.29044643,-0.19396693,0.03279843,-0.3334009
1,2,1,3,3,1,3,1,1,1,1,1,1,0.5887499,-0.16547915,0.06314498,-0.19396693,1.8873113,0.7179817
1,2,1,1,1,1,3,1,1,1,1,1,1,-0.41821674,-0.9824224,-0.161991,-0.19396693,0.5021682,-0.7622148
1,2,1,2,1,1,2,1,1,2,2,2,1,-0.5224576,-0.31500894,-0.26847523,-0.19396693,-0.3289177,-0.508381
1,5,1,7,7,1,2,1,1,1,1,1,2,-0.045868423,1.0799947,-0.14637846,-0.19396693,-0.5700618,-0.2725709
1,3,1,6,5,1,2,1,1,1,1,1,2,0.013340379,0.9705826,-0.3690223,-0.19396693,-0.45523128,-0.2725709
1,5,1,3,3,1,4,1,1,1,1,1,1,-0.42655602,-0.13812615,-0.39925787,-0.19396693,-0.78536904,-0.8283017
1,5,1,3,1,1,4,1,1,1,1,1,2,-0.49118534,-0.663304,-0.42857724,-0.19396693,-0.6619262,-0.2725709
1,3,1,4,3,1,3,1,1,2,1,2,2,-0.2831206,-0.31500894,-0.3845982,1.6623818,-0.3289177,-0.2725709
1,3,1,6,6,1,1,1,1,1,1,1,2,-0.34191245,1.2459363,-0.20270826,-0.19396693,-0.9748394,-0.2725709
1,2,1,3,3,1,4,1,1,1,1,1,1,0.14676867,-0.22383225,0.6706787,-0.19396693,0.8351767,0.0413419
1,2,1,5,5,1,3,1,1,2,1,2,1,0.7138389,-0.31500894,-0.053106256,-0.19396693,-0.3289177,3.6723666
1,3,1,5,5,1,1,1,1,2,1,2,2,-0.3640115,-0.31500894,-0.36718982,-0.19396693,-0.3289177,-0.2725709
1,6,1,1,0,1,3,1,1,1,1,1,2,2.6110222,5.201182,-0.39163485,-0.19396693,0.21939802,-0.2725709
