Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,project_name,target,target_std
SVR,-0.3122298415260527,-0.007944660882330368,7.267326709136031,0.04800224304199219,real-state-ny,DAYS ON MARKET,41.069
NuSVR,-0.3186327275997529,-0.012862819750534937,7.285035207962351,0.07193660736083984,real-state-ny,DAYS ON MARKET,41.069
HuberRegressor,-0.32075471108406295,-0.01449274909355558,7.290894500663158,0.08727645874023438,real-state-ny,DAYS ON MARKET,41.069
QuantileRegressor,-0.3207547169569145,-0.014492753604586461,7.290894516872958,1.0321986675262451,real-state-ny,DAYS ON MARKET,41.069
RANSACRegressor,-0.3207547169811318,-0.014492753623188248,7.290894516939801,0.17393898963928223,real-state-ny,DAYS ON MARKET,41.069
LinearSVR,-0.32075495701662105,-0.014492937998274114,7.2908951794675705,0.059388160705566406,real-state-ny,DAYS ON MARKET,41.069
PassiveAggressiveRegressor,-0.33890055364544813,-0.028430860046503748,7.3408084257864905,0.0591428279876709,real-state-ny,DAYS ON MARKET,41.069
GammaRegressor,-1.243939706935988,-0.7236058618493821,9.503319306517378,0.12418627738952637,real-state-ny,DAYS ON MARKET,41.069
LassoLarsCV,-1.8399474806427558,-1.1814089344067544,10.691161355177881,0.048430681228637695,real-state-ny,DAYS ON MARKET,41.069
LassoCV,-1.8399474806427558,-1.1814089344067544,10.691161355177881,0.1293473243713379,real-state-ny,DAYS ON MARKET,41.069
LarsCV,-1.8399474806427558,-1.1814089344067544,10.691161355177881,0.04705977439880371,real-state-ny,DAYS ON MARKET,41.069
ElasticNetCV,-1.8399474806427558,-1.1814089344067544,10.691161355177881,0.39308643341064453,real-state-ny,DAYS ON MARKET,41.069
DummyRegressor,-1.8399474806427558,-1.1814089344067544,10.691161355177881,0.042008399963378906,real-state-ny,DAYS ON MARKET,41.069
PoissonRegressor,-1.863421959718469,-1.1994400560156357,10.7352560014527,0.07909107208251953,real-state-ny,DAYS ON MARKET,41.069
MLPRegressor,-2.332272341200528,-1.5595715084583768,11.58083766686863,0.4260256290435791,real-state-ny,DAYS ON MARKET,41.069
TweedieRegressor,-2.3898150201646544,-1.6037709575177783,11.680400377291136,0.13100862503051758,real-state-ny,DAYS ON MARKET,41.069
ElasticNet,-2.7361712811967935,-1.869812723238117,12.262615718554983,0.11746096611022949,real-state-ny,DAYS ON MARKET,41.069
GradientBoostingRegressor,-3.62528517860519,-2.55275528211703,13.643914438673754,0.2579469680786133,real-state-ny,DAYS ON MARKET,41.069
LassoLars,-3.6885904237526272,-2.60138105012883,13.736967725585624,0.03654909133911133,real-state-ny,DAYS ON MARKET,41.069
Lasso,-3.688808226114456,-2.6015483475951617,13.737286788352753,0.031607627868652344,real-state-ny,DAYS ON MARKET,41.069
KernelRidge,-3.7374259463845076,-2.6388923935996944,13.808323304533246,0.0421442985534668,real-state-ny,DAYS ON MARKET,41.069
BayesianRidge,-3.7466633788922463,-2.6459878127723053,13.821779064891349,0.06790447235107422,real-state-ny,DAYS ON MARKET,41.069
LassoLarsIC,-3.815994943813264,-2.6992424930739567,13.922356201992253,0.11054253578186035,real-state-ny,DAYS ON MARKET,41.069
RidgeCV,-3.9907580647786496,-2.8334808323662095,14.172712861082463,0.06653857231140137,real-state-ny,DAYS ON MARKET,41.069
Ridge,-4.160859550128719,-2.9641384950264076,14.41221558446051,0.09932851791381836,real-state-ny,DAYS ON MARKET,41.069
LinearRegression,-4.181597585293239,-2.9800677104426327,14.441143070453718,0.09013676643371582,real-state-ny,DAYS ON MARKET,41.069
TransformedTargetRegressor,-4.181597585293239,-2.9800677104426327,14.441143070453718,0.05494952201843262,real-state-ny,DAYS ON MARKET,41.069
Lars,-4.181597585293247,-2.980067710442639,14.441143070453728,0.0439295768737793,real-state-ny,DAYS ON MARKET,41.069
SGDRegressor,-4.393551971691281,-3.1428732536179407,14.733541942176291,0.04713892936706543,real-state-ny,DAYS ON MARKET,41.069
