Model,Adjusted R-Squared,R-Squared,RMSE,Time Taken,project_name,target,target_std
ExtraTreesRegressor,0.852479074590071,0.8866868254097646,646676.7160159934,0.3385777473449707,real-state-ny,PRICE,2411107.906
XGBRegressor,0.8056188831978084,0.8506927653548383,742313.6500446653,0.21347427368164062,real-state-ny,PRICE,2411107.906
RandomForestRegressor,0.7768912545216532,0.8286266157919945,795277.5214226601,1.413708209991455,real-state-ny,PRICE,2411107.906
BaggingRegressor,0.7365188167139045,0.797615902693289,864241.6908139131,0.0755167007446289,real-state-ny,PRICE,2411107.906
LGBMRegressor,0.7348645067794526,0.7963452008595795,866950.5871876561,0.14751362800598145,real-state-ny,PRICE,2411107.906
HistGradientBoostingRegressor,0.7259973793547277,0.7895342189246459,881328.406794872,0.3348536491394043,real-state-ny,PRICE,2411107.906
ExtraTreeRegressor,0.7078913648587981,0.7756267005437145,909981.5937560574,0.03547096252441406,real-state-ny,PRICE,2411107.906
AdaBoostRegressor,0.6943972296248806,0.7652616401466474,930762.8775758612,0.17375898361206055,real-state-ny,PRICE,2411107.906
KNeighborsRegressor,0.6512144000439661,0.7320922203236262,994350.9277474203,0.0454103946685791,real-state-ny,PRICE,2411107.906
ElasticNet,0.6411259521656723,0.7243431226779802,1008628.9674340965,0.034224510192871094,real-state-ny,PRICE,2411107.906
LassoLarsIC,0.6111366995780798,0.7013078996759163,1049926.4799220986,0.06478571891784668,real-state-ny,PRICE,2411107.906
LassoCV,0.5871972954455125,0.6829196617190167,1081761.88945084,0.15415096282958984,real-state-ny,PRICE,2411107.906
LassoLarsCV,0.5860306945488208,0.6820235769722827,1083289.3673796,0.08769774436950684,real-state-ny,PRICE,2411107.906
LarsCV,0.5860306945488208,0.6820235769722827,1083289.3673796,0.05557823181152344,real-state-ny,PRICE,2411107.906
GammaRegressor,0.5858648649715241,0.6818962006303011,1083506.3199757708,0.036283254623413086,real-state-ny,PRICE,2411107.906
RidgeCV,0.5742326574781986,0.6729613166136887,1098617.6793855,0.0935516357421875,real-state-ny,PRICE,2411107.906
TweedieRegressor,0.5714600448080842,0.6708316286207023,1102188.994152398,0.10094428062438965,real-state-ny,PRICE,2411107.906
SGDRegressor,0.5378442330449461,0.6450107877011905,1144602.258477376,0.0845637321472168,real-state-ny,PRICE,2411107.906
Ridge,0.5341244105145364,0.6421535327140642,1149199.39265558,0.08094501495361328,real-state-ny,PRICE,2411107.906
LassoLars,0.5285390533346905,0.6378633308222985,1156067.7126117533,0.0511932373046875,real-state-ny,PRICE,2411107.906
Lasso,0.5285390226295923,0.6378633072372231,1156067.7502576837,0.040761709213256836,real-state-ny,PRICE,2411107.906
Lars,0.5285372552149334,0.6378619496578474,1156069.9171911858,0.039397478103637695,real-state-ny,PRICE,2411107.906
TransformedTargetRegressor,0.5285372552149321,0.6378619496578464,1156069.9171911874,0.0914466381072998,real-state-ny,PRICE,2411107.906
LinearRegression,0.5285372552149321,0.6378619496578464,1156069.9171911874,0.040860891342163086,real-state-ny,PRICE,2411107.906
PoissonRegressor,0.49785255383478433,0.614292541351356,1193097.7846286292,0.06704401969909668,real-state-ny,PRICE,2411107.906
OrthogonalMatchingPursuitCV,0.4904021925890245,0.608569800104613,1201916.1908184444,0.04261064529418945,real-state-ny,PRICE,2411107.906
HuberRegressor,0.48770557821298466,0.6064984876128723,1205092.056216186,0.04729127883911133,real-state-ny,PRICE,2411107.906
RANSACRegressor,0.3044699478026912,0.46575227874699465,1404165.6992143618,0.7394692897796631,real-state-ny,PRICE,2411107.906
GradientBoostingRegressor,-0.05009968470518111,0.19340169145833908,1725343.905802676,0.19736838340759277,real-state-ny,PRICE,2411107.906
KernelRidge,-0.1592709534679364,0.10954549951013581,1812812.5008189795,0.038991689682006836,real-state-ny,PRICE,2411107.906
OrthogonalMatchingPursuit,-0.24867823258356658,0.040870343087984984,1881419.6719518164,0.03390169143676758,real-state-ny,PRICE,2411107.906
DecisionTreeRegressor,-0.26625423226064937,0.027369937538921474,1894614.5364950811,0.03298044204711914,real-state-ny,PRICE,2411107.906
ElasticNetCV,-0.30135425283708295,0.00040905216861741867,1920693.9924896616,0.12647509574890137,real-state-ny,PRICE,2411107.906
BayesianRidge,-0.30405035827816396,-0.001661869402068028,1922682.5802160425,0.032973289489746094,real-state-ny,PRICE,2411107.906
DummyRegressor,-0.3040503584814007,-0.0016618695581773757,1922682.5803658678,0.03229522705078125,real-state-ny,PRICE,2411107.906
NuSVR,-0.36974471360350636,-0.05212275102878028,1970517.1846560207,0.03371572494506836,real-state-ny,PRICE,2411107.906
SVR,-0.4411653733245704,-0.106982098350757,2021237.3718934262,0.08679842948913574,real-state-ny,PRICE,2411107.906
QuantileRegressor,-0.4428195249417892,-0.10825267857847587,2022397.014739376,2.22712779045105,real-state-ny,PRICE,2411107.906
GaussianProcessRegressor,-0.7073692000700753,-0.31145750150310136,2200007.3488187315,0.051259517669677734,real-state-ny,PRICE,2411107.906
PassiveAggressiveRegressor,-0.7913280055593035,-0.37594759847308823,2253450.2163879876,0.07057046890258789,real-state-ny,PRICE,2411107.906
LinearSVR,-1.0663300264669968,-0.5871810348224757,2420250.1374371205,0.029850482940673828,real-state-ny,PRICE,2411107.906
MLPRegressor,-1.0665044559994135,-0.5873150169270858,2420352.288154947,0.37322044372558594,real-state-ny,PRICE,2411107.906
